license_id,location_key
2048713-DCA,6417 NEW UTRECHT AVE BROOKLYN NY 11219 (Brooklyn)
0833376-DCA,267 BROADWAY STATEN ISLAND NY 10310 (Staten Island)
2129664-DCWP,190 ALLEN ST NEW YORK NY 10002 (Manhattan)
2130623-DCWP,10502 NORTHERN BLVD CORONA NY 11368 (Queens)
2129818-1-DCWP,1053 BEDFORD AVE BROOKLYN NY 11216 (Brooklyn)
2083980-DCA,1472 FULTON STREET BROOKLYN NY 11216 (Brooklyn)
2046967-DCA,1553 WESTCHESTER AVENUE APT 15531559 BRONX NY 10472 (Bronx)
2122247-DCWP,1345 BLONDELL AVE BRONX NY 10461 (Bronx)
2010751-DCA,4016 35TH AVE LONG ISLAND CITY NY 11101 (Queens)
2051666-2-DCA,541 3 AVENUE NEW YORK NY 10016 (Manhattan)
1129928-DCA,144 BEACH 118TH ST ROCKAWAY PARK NY 11694 (Queens)
