entity_id,registration_id,full_address,zip_code,Latitude,Longitude
BA-1220426-2022,0765881-DCA,4906 20TH AVE BROOKLYN NY 11204 (Brooklyn),11204,40.62578,-73.976411
BA-1176611-2022,0765904-DCA,8660 18TH AVE BROOKLYN NY 11214 (Brooklyn),11214,40.60622,-74.003749
BA-1101036-2022,0766197-DCA,8725 4TH AVE BROOKLYN NY 11209 (Brooklyn),11209,40.62137,-74.028926
BA-1565763-2022,0766500-DCA,475 PELTON AVE STATEN ISLAND NY 10310 (Staten Island),10310,40.63125,-74.109523
BA-1461465-2022,0766634-DCA,2400 GRAND CONCOURSE BRONX NY 10458 (Bronx),10458,40.85997,-73.898473
BA-1081419-2022,0767540-DCA,15377A CROSS ISLAND PKWY WHITESTONE NY 11357 (Queens),11357,40.78694,-73.808334
BA-1107962-2022,0769161-DCA,1412 CLINTONVILLE STREET WHITESTONE NY 11357 (Queens),11357,40.78909,-73.811419
BA-1408184-2022,0769804-DCA,1785 BROADWAY BROOKLYN NY 11207 (Brooklyn),11207,40.68222,-73.909235
BA-1523606-2022,0780231-DCA,2243 HOLLERS AVENUE BRONX NY 10475 (Bronx),10475,40.88377,-73.829395
BA-1233279-2022,0780237-DCA,1832 STEINWAY ST ASTORIA NY 11105 (Queens),11105,40.77946,-73.898003
